# Reference flux 14214.6936817
# Magnitude zero point 29.7465228468
# mag = zpt - 2.5 * log10(flux)
3911.93432 255.54 474.31039248 B1507-gb5-R-7
3911.94147 374.484 340.22685026 B1508-gb5-R-7
3911.94894 295.896 322.177782474 B1509-gb5-R-7
3911.9561 186.375 263.583843454 B1510-gb5-R-7
3911.96325 -182.041 317.690426838 B1511-gb5-R-7
3911.97039 117.404 434.55170161 B1512-gb5-R-7
3911.97755 130.969 222.25857472 B1513-gb5-R-7
3911.98502 -6.28959 393.618068592 B1514-gb5-R-7
3911.99216 282.564 296.029445166 B1515-gb5-R-7
3911.99931 40.6073 297.12186202 B1516-gb5-R-7
3912.00646 300.468 264.806343746 B1517-gb5-R-7
3912.01361 -250.131 289.060554684 B1518-gb5-R-7
3912.02117 90.9499 338.887035344 B1519-gb5-R-7
3912.02832 14.1964 312.399949914 B1520-gb5-R-7
3912.03547 518.853 349.294596 B1521-gb5-R-7
3912.04262 -106.384 330.66460189 B1522-gb5-R-7
3912.05103 48.3673 263.962384462 B1523-gb5-R-7
3912.0586 119.336 280.244842944 B1524-gb5-R-7
3912.06833 -101.613 352.388583746 B1525-gb5-R-7
3912.07548 179.798 490.6525023 B1526-gb5-R-7
3912.08263 -113.872 326.656437534 B1527-gb5-R-7
3912.10443 -122.902 487.72119008 B1530-gb5-R-7
3912.11158 452.879 283.863952805 B1531-gb5-R-7
3912.11873 255.97 354.39697504 B1532-gb5-R-7
3912.12588 125.62 355.288799346 B1533-gb5-R-7
3912.13332 214.259 348.261665345 B1534-gb5-R-7
3912.14046 -201.47 363.367600029 B1535-gb5-R-7
3912.14761 -77.275 321.342701693 B1536-gb5-R-7
3912.15476 83.1624 272.892881768 B1537-gb5-R-7
3912.16191 198.803 326.630301344 B1538-gb5-R-7
3912.16951 -119.959 396.063147029 B1539-gb5-R-7
3912.17669 104.682 407.136453504 B1540-gb5-R-7
3912.18384 -189.117 314.306193322 B1541-gb5-R-7
3912.191 -250.88 368.45789514 B1542-gb5-R-7
3912.19816 62.912 349.98130881 B1543-gb5-R-7
3912.20555 280.877 298.94566979 B1544-gb5-R-7
3912.2127 138.46 403.659733645 B1545-gb5-R-7
3912.21984 22.9993 383.993121014 B1546-gb5-R-7
3912.22699 245.473 440.8508552 B1547-gb5-R-7
3912.23413 301.709 490.493433391 B1548-gb5-R-7
3912.24154 175.452 516.732495027 B1549-gb5-R-7
3912.24869 298.135 465.901480306 B1550-gb5-R-7
3912.81113 64.869 579.4016277 B1556-gb5-R-7
3912.83256 -368.531 571.91788836 B1559-gb5-R-7
3912.8397 -335.761 502.152561496 B1560-gb5-R-7
3912.8472 -437.367 538.149036106 B1561-gb5-R-7
3912.85434 134.292 509.328561112 B1562-gb5-R-7
3912.86148 100.82 459.60626262 B1563-gb5-R-7
3912.86862 -21.2537 450.045436427 B1564-gb5-R-7
3912.87576 -27.5955 524.4964408 B1565-gb5-R-7
3912.88327 -313.893 313.35014138 B1566-gb5-R-7
3912.89042 72.3234 368.682462084 B1567-gb5-R-7
3912.89756 -207.537 339.659742137 B1568-gb5-R-7
3912.9047 103.829 375.88555179 B1569-gb5-R-7
3912.91189 -328.547 539.898122766 B1570-gb5-R-7
3912.91954 71.1649 577.90114572 B1571-gb5-R-7
3912.92678 -60.9715 554.42631591 B1572-gb5-R-7
3912.93407 85.1253 571.8237573 B1573-gb5-R-7
3912.94138 -155.404 412.66923951 B1574-gb5-R-7
3912.94865 371.07 595.5590329 B1575-gb5-R-7
